timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu, clocks.current.sm [MHz]
2026/09/23 01:53:32.286, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 4.81 W, 300.00 W, 30, 210 MHz
2026/09/23 01:53:33.296, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 4.82 W, 300.00 W, 30, 210 MHz
2026/09/23 01:53:34.296, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 4.84 W, 300.00 W, 30, 210 MHz
2026/09/23 01:53:35.298, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 4.74 W, 300.00 W, 30, 210 MHz
2026/09/23 01:53:36.299, 0, 0 %, 0 %, 3 MiB, 49140 MiB, 5.13 W, 300.00 W, 30, 210 MHz
2026/09/23 01:53:37.299, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 24.15 W, 300.00 W, 32, 2505 MHz
2026/09/23 01:53:38.300, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 52.01 W, 300.00 W, 32, 2505 MHz
2026/09/23 01:53:39.300, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 52.04 W, 300.00 W, 32, 2505 MHz
2026/09/23 01:53:40.305, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 51.97 W, 300.00 W, 32, 2505 MHz
2026/09/23 01:53:41.305, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 52.23 W, 300.00 W, 33, 2505 MHz
2026/09/23 01:53:42.306, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 52.57 W, 300.00 W, 33, 2505 MHz
2026/09/23 01:53:43.306, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 52.53 W, 300.00 W, 33, 2505 MHz
2026/09/23 01:53:44.307, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 52.26 W, 300.00 W, 33, 2505 MHz
2026/09/23 01:53:45.307, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 52.18 W, 300.00 W, 33, 2505 MHz
2026/09/23 01:53:46.307, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 52.22 W, 300.00 W, 33, 2505 MHz
2026/09/23 01:53:47.308, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 52.51 W, 300.00 W, 33, 2505 MHz
2026/09/23 01:53:48.308, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 52.90 W, 300.00 W, 33, 2505 MHz
2026/09/23 01:53:49.309, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 52.42 W, 300.00 W, 33, 2505 MHz
2026/09/23 01:53:50.309, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 52.27 W, 300.00 W, 34, 2505 MHz
2026/09/23 01:53:51.309, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 52.25 W, 300.00 W, 34, 2505 MHz
2026/09/23 01:53:52.310, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 52.32 W, 300.00 W, 34, 2505 MHz
2026/09/23 01:53:53.311, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 52.39 W, 300.00 W, 34, 2505 MHz
2026/09/23 01:53:54.311, 0, 0 %, 0 %, 633 MiB, 49140 MiB, 52.44 W, 300.00 W, 34, 2505 MHz
2026/09/23 01:53:55.311, 0, 0 %, 0 %, 635 MiB, 49140 MiB, 52.30 W, 300.00 W, 34, 2505 MHz
2026/09/23 01:53:56.312, 0, 0 %, 0 %, 981 MiB, 49140 MiB, 68.90 W, 300.00 W, 36, 2505 MHz
2026/09/23 01:53:57.312, 0, 0 %, 0 %, 1443 MiB, 49140 MiB, 142.46 W, 300.00 W, 38, 2775 MHz
2026/09/23 01:53:58.313, 0, 83 %, 100 %, 1511 MiB, 49140 MiB, 182.62 W, 300.00 W, 39, 2775 MHz
2026/09/23 01:53:59.314, 0, 56 %, 66 %, 1627 MiB, 49140 MiB, 122.52 W, 300.00 W, 36, 2775 MHz
2026/09/23 01:54:00.314, 0, 20 %, 24 %, 1823 MiB, 49140 MiB, 109.20 W, 300.00 W, 39, 2775 MHz
2026/09/23 01:54:01.315, 0, 59 %, 63 %, 2775 MiB, 49140 MiB, 182.14 W, 300.00 W, 41, 2775 MHz
