seed,checkpoint,device,image_id,inference_seconds
42,checkpoint_final.pth,cuda,liver_0626,0.086161
42,checkpoint_final.pth,cuda,liver_0627,0.111671
42,checkpoint_final.pth,cuda,liver_0628,0.086275
42,checkpoint_final.pth,cuda,liver_0629,0.085601
42,checkpoint_final.pth,cuda,liver_0630,0.085591
42,checkpoint_final.pth,cuda,liver_0631,0.085310
42,checkpoint_final.pth,cuda,liver_0632,0.085913
42,checkpoint_final.pth,cuda,liver_0633,0.085255
42,checkpoint_final.pth,cuda,liver_0634,0.084973
42,checkpoint_final.pth,cuda,liver_0635,0.085509
42,checkpoint_final.pth,cuda,liver_0636,0.085806
42,checkpoint_final.pth,cuda,liver_0637,0.085321
42,checkpoint_final.pth,cuda,liver_0638,0.085149
42,checkpoint_final.pth,cuda,liver_0639,0.085898
42,checkpoint_final.pth,cuda,liver_0640,0.111945
42,checkpoint_final.pth,cuda,liver_0641,0.085771
42,checkpoint_final.pth,cuda,liver_0642,0.085918
42,checkpoint_final.pth,cuda,liver_0643,0.084945
42,checkpoint_final.pth,cuda,liver_0644,0.085468
42,checkpoint_final.pth,cuda,liver_0645,0.085216
42,checkpoint_final.pth,cuda,liver_0646,0.085460
42,checkpoint_final.pth,cuda,liver_0647,0.084624
42,checkpoint_final.pth,cuda,liver_0648,0.085197
42,checkpoint_final.pth,cuda,liver_0649,0.085681
42,checkpoint_final.pth,cuda,liver_0650,0.085241
42,checkpoint_final.pth,cuda,liver_0651,0.084618
42,checkpoint_final.pth,cuda,liver_0652,0.085385
42,checkpoint_final.pth,cuda,liver_0653,0.085728
42,checkpoint_final.pth,cuda,liver_0654,0.085475
42,checkpoint_final.pth,cuda,liver_0655,0.085763
42,checkpoint_final.pth,cuda,liver_0656,0.084998
42,checkpoint_final.pth,cuda,liver_0657,0.111195
42,checkpoint_final.pth,cuda,liver_0658,0.085028
42,checkpoint_final.pth,cuda,liver_0659,0.085767
42,checkpoint_final.pth,cuda,liver_0660,0.085761
42,checkpoint_final.pth,cuda,liver_0661,0.112205
42,checkpoint_final.pth,cuda,liver_0662,0.084576
42,checkpoint_final.pth,cuda,liver_0663,0.085442
42,checkpoint_final.pth,cuda,liver_0664,0.111822
42,checkpoint_final.pth,cuda,liver_0665,0.086096
42,checkpoint_final.pth,cuda,liver_0666,0.111423
42,checkpoint_final.pth,cuda,liver_0667,0.111883
42,checkpoint_final.pth,cuda,liver_0668,0.111588
42,checkpoint_final.pth,cuda,liver_0669,0.112282
42,checkpoint_final.pth,cuda,liver_0670,0.087164
42,checkpoint_final.pth,cuda,liver_0671,0.085286
42,checkpoint_final.pth,cuda,liver_0672,0.110563
42,checkpoint_final.pth,cuda,liver_0673,0.111894
42,checkpoint_final.pth,cuda,liver_0674,0.111315
42,checkpoint_final.pth,cuda,liver_0675,0.086126
42,checkpoint_final.pth,cuda,liver_0676,0.085288
42,checkpoint_final.pth,cuda,liver_0677,0.085328
