seed,checkpoint,device,image_id,inference_seconds
42,checkpoint_final.pth,cuda,liver_0626,0.084763
42,checkpoint_final.pth,cuda,liver_0627,0.165231
42,checkpoint_final.pth,cuda,liver_0628,0.088002
42,checkpoint_final.pth,cuda,liver_0629,0.088288
42,checkpoint_final.pth,cuda,liver_0630,0.086675
42,checkpoint_final.pth,cuda,liver_0631,0.087497
42,checkpoint_final.pth,cuda,liver_0632,0.085500
42,checkpoint_final.pth,cuda,liver_0633,0.085174
42,checkpoint_final.pth,cuda,liver_0634,0.085590
42,checkpoint_final.pth,cuda,liver_0635,0.085051
42,checkpoint_final.pth,cuda,liver_0636,0.085264
42,checkpoint_final.pth,cuda,liver_0637,0.085269
42,checkpoint_final.pth,cuda,liver_0638,0.085234
42,checkpoint_final.pth,cuda,liver_0639,0.085225
42,checkpoint_final.pth,cuda,liver_0640,0.175352
42,checkpoint_final.pth,cuda,liver_0641,0.112730
42,checkpoint_final.pth,cuda,liver_0642,0.162888
42,checkpoint_final.pth,cuda,liver_0643,0.084448
42,checkpoint_final.pth,cuda,liver_0644,0.084802
42,checkpoint_final.pth,cuda,liver_0645,0.084486
42,checkpoint_final.pth,cuda,liver_0646,0.084550
42,checkpoint_final.pth,cuda,liver_0647,0.083176
42,checkpoint_final.pth,cuda,liver_0648,0.083478
42,checkpoint_final.pth,cuda,liver_0649,0.083059
42,checkpoint_final.pth,cuda,liver_0650,0.083104
42,checkpoint_final.pth,cuda,liver_0651,0.083155
42,checkpoint_final.pth,cuda,liver_0652,0.084120
42,checkpoint_final.pth,cuda,liver_0653,0.084807
42,checkpoint_final.pth,cuda,liver_0654,0.084892
42,checkpoint_final.pth,cuda,liver_0655,0.084527
42,checkpoint_final.pth,cuda,liver_0656,0.084806
42,checkpoint_final.pth,cuda,liver_0657,0.162422
42,checkpoint_final.pth,cuda,liver_0658,0.085929
42,checkpoint_final.pth,cuda,liver_0659,0.085135
42,checkpoint_final.pth,cuda,liver_0660,0.160846
42,checkpoint_final.pth,cuda,liver_0661,0.162721
