timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], power.limit [W], temperature.gpu, clocks.current.sm [MHz]
2026/09/19 22:17:32.198, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 5.82 W, 300.00 W, 32, 210 MHz
2026/09/19 22:17:33.204, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 5.59 W, 300.00 W, 32, 210 MHz
2026/09/19 22:17:34.204, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 5.68 W, 300.00 W, 32, 210 MHz
2026/09/19 22:17:35.205, 0, 0 %, 0 %, 0 MiB, 49140 MiB, 5.71 W, 300.00 W, 32, 210 MHz
2026/09/19 22:17:36.206, 0, 0 %, 0 %, 33 MiB, 49140 MiB, 6.36 W, 300.00 W, 32, 210 MHz
2026/09/19 22:17:37.206, 0, 10 %, 0 %, 987 MiB, 49140 MiB, 33.73 W, 300.00 W, 33, 2505 MHz
2026/09/19 22:17:38.207, 0, 0 %, 0 %, 1183 MiB, 49140 MiB, 49.13 W, 300.00 W, 33, 2505 MHz
2026/09/19 22:17:39.208, 0, 0 %, 0 %, 1183 MiB, 49140 MiB, 49.03 W, 300.00 W, 34, 2505 MHz
2026/09/19 22:17:40.212, 0, 0 %, 0 %, 1183 MiB, 49140 MiB, 48.37 W, 300.00 W, 34, 2505 MHz
2026/09/19 22:17:41.212, 0, 0 %, 0 %, 1183 MiB, 49140 MiB, 48.28 W, 300.00 W, 34, 2505 MHz
2026/09/19 22:17:42.213, 0, 0 %, 0 %, 1183 MiB, 49140 MiB, 48.25 W, 300.00 W, 34, 2505 MHz
2026/09/19 22:17:43.213, 0, 0 %, 0 %, 873 MiB, 49140 MiB, 48.35 W, 300.00 W, 34, 2505 MHz
2026/09/19 22:17:44.214, 0, 10 %, 0 %, 941 MiB, 49140 MiB, 48.77 W, 300.00 W, 34, 2505 MHz
2026/09/19 22:17:45.215, 0, 0 %, 0 %, 941 MiB, 49140 MiB, 48.85 W, 300.00 W, 35, 2505 MHz
2026/09/19 22:17:46.216, 0, 0 %, 0 %, 941 MiB, 49140 MiB, 48.46 W, 300.00 W, 35, 2505 MHz
